playername	month	year	img	char
Ace%20Adams	4	2011	0	13985
Ace%20Adams	5	2006	0	7706
Ace%20Adams	5	2007	0	6800
Ace%20Adams	5	2008	0	7341
Ace%20Adams	5	2009	0	11203
Ace%20Adams	5	2010	0	12807
Ace%20Adams	5	2011	0	14009
Ace%20Adams	6	2006	0	8129
Ace%20Adams	6	2007	0	6800
Ace%20Adams	6	2008	0	7399
Ace%20Adams	6	2009	0	11201
Ace%20Adams	6	2010	0	12683
Ace%20Adams	6	2011	0	14009
Ace%20Adams	7	2006	0	8201
Ace%20Adams	7	2007	0	6800
Ace%20Adams	7	2008	0	7346
Ace%20Adams	7	2009	0	12559
Ace%20Adams	7	2010	0	12683
Ace%20Adams	7	2011	0	14370
Ace%20Adams	8	2006	0	7966
Ace%20Adams	8	2007	0	6942
Ace%20Adams	8	2008	0	7540
Ace%20Adams	8	2009	0	12591
Ace%20Adams	8	2010	0	12883
Ace%20Adams	8	2011	0	14370
Ace%20Adams	9	2006	0	8147
Ace%20Adams	9	2007	0	7181
Ace%20Adams	9	2008	0	7246
Ace%20Adams	9	2009	0	12499
Ace%20Adams	9	2010	0	12883
Ace%20Adams	9	2011	0	14370
Ace%20Adams	10	2006	0	8147
Ace%20Adams	10	2007	0	7181
Ace%20Adams	10	2008	0	7246
Ace%20Adams	10	2009	0	12410
Ace%20Adams	10	2010	0	12883
Ace%20Adams	10	2011	0	14370
Ace%20Adams	11	2006	0	8147
Ace%20Adams	11	2007	0	7181
Ace%20Adams	11	2008	0	7246
Ace%20Adams	11	2009	0	12410
Ace%20Adams	11	2010	0	14131
Ace%20Adams	11	2011	0	14370
Ace%20Adams	12	2006	0	8147
Ace%20Adams	12	2007	0	7181
Ace%20Adams	12	2008	0	7248
Ace%20Adams	12	2009	0	12410
Ace%20Adams	12	2010	0	13975
Ace%20Adams	12	2011	0	14123
Joe%20Adcock	1	2006	0	15721
Joe%20Adcock	1	2007	0	20346
Joe%20Adcock	1	2008	0	19057
Joe%20Adcock	1	2009	0	26860
Joe%20Adcock	1	2010	0	33235
Joe%20Adcock	1	2011	0	34263
Joe%20Adcock	2	2006	0	15928
Joe%20Adcock	2	2007	0	20346
Joe%20Adcock	2	2008	0	19235
Joe%20Adcock	2	2009	0	26860
Joe%20Adcock	2	2010	0	33235
Joe%20Adcock	2	2011	0	34263
Joe%20Adcock	3	2006	0	16777
Joe%20Adcock	3	2007	0	20346
Joe%20Adcock	3	2008	0	19237
Joe%20Adcock	3	2009	0	30108
Joe%20Adcock	3	2010	0	33235
Joe%20Adcock	3	2011	0	34263
Joe%20Adcock	4	2006	0	16777
Joe%20Adcock	4	2007	0	13050
Joe%20Adcock	4	2008	0	19237
Joe%20Adcock	4	2009	0	30108
Joe%20Adcock	4	2010	0	33235
Joe%20Adcock	4	2011	0	34237
Joe%20Adcock	5	2006	0	18660
Joe%20Adcock	5	2007	0	13906
Joe%20Adcock	5	2008	0	19185
Joe%20Adcock	5	2009	0	30108
Joe%20Adcock	5	2010	0	33235
Joe%20Adcock	5	2011	0	34277
Joe%20Adcock	6	2006	0	18660
Joe%20Adcock	6	2007	0	13847
Joe%20Adcock	6	2008	0	19185
Joe%20Adcock	6	2009	0	30046
Joe%20Adcock	6	2010	0	33031
Joe%20Adcock	6	2011	1	34477
Joe%20Adcock	7	2006	0	18674
Joe%20Adcock	7	2007	0	14443
Joe%20Adcock	7	2008	0	25251
Joe%20Adcock	7	2009	0	30258
Joe%20Adcock	7	2010	0	32943
Joe%20Adcock	7	2011	1	34943
Joe%20Adcock	8	2006	0	18968
Joe%20Adcock	8	2007	0	14036
Joe%20Adcock	8	2008	0	25059
Joe%20Adcock	8	2009	0	33358
Joe%20Adcock	8	2010	0	32943
Joe%20Adcock	8	2011	1	35021
Joe%20Adcock	9	2006	0	19301
Joe%20Adcock	9	2007	0	14187
Joe%20Adcock	9	2008	0	25040
